TARGET_total_pest_count_above25,TARGET_total_pest_count,date,trap_crop,pest,region,lon,lat,year,class,week,month,dist_to_road_km,dist_to_water_km,total_pest_count_1_weeks_ago_0_years_ago,total_pest_count_2_weeks_ago_0_years_ago,total_pest_count_0_weeks_ago_1_years_ago,neighbor_pest_count_0_weeks_ago_0_years_ago,neighbor_pest_count_1_weeks_ago_0_years_ago,most_recent_generation_wk_0_weeks_ago_0_years_ago,most_recent_generation_wk_0_weeks_ago_1_years_ago,neighbor_most_recent_generation_wk_0_weeks_ago_0_years_ago,neighbor_most_recent_generation_wk_0_weeks_ago_1_years_ago,season_first_generation_wk_0_weeks_ago_0_years_ago,season_first_generation_wk_0_weeks_ago_1_years_ago,neighbor_season_first_generation_wk_0_weeks_ago_0_years_ago,neighbor_season_first_generation_wk_0_weeks_ago_1_years_ago,annual_days_below_freezing_0_years_ago,annual_days_below_freezing_1_years_ago,season_cumulative_degree_days_0_weeks_ago_0_years_ago,season_cumulative_degree_days_1_weeks_ago_0_years_ago,season_cumulative_degree_days_2_weeks_ago_0_years_ago,season_cumulative_degree_days_0_weeks_ago_1_years_ago,degree_days_sum_0_weeks_ago_0_years_ago,degree_days_sum_1_weeks_ago_0_years_ago,degree_days_sum_2_weeks_ago_0_years_ago,degree_days_sum_0_weeks_ago_1_years_ago,degree_days_std_0_weeks_ago_0_years_ago,degree_days_std_1_weeks_ago_0_years_ago,degree_days_std_2_weeks_ago_0_years_ago,degree_days_std_0_weeks_ago_1_years_ago,high_temp_mean_0_weeks_ago_0_years_ago,high_temp_mean_1_weeks_ago_0_years_ago,high_temp_mean_2_weeks_ago_0_years_ago,high_temp_mean_0_weeks_ago_1_years_ago,high_temp_max_0_weeks_ago_0_years_ago,high_temp_max_1_weeks_ago_0_years_ago,high_temp_max_2_weeks_ago_0_years_ago,high_temp_max_0_weeks_ago_1_years_ago,high_temp_std_0_weeks_ago_0_years_ago,high_temp_std_1_weeks_ago_0_years_ago,high_temp_std_2_weeks_ago_0_years_ago,high_temp_std_0_weeks_ago_1_years_ago,low_temp_mean_0_weeks_ago_0_years_ago,low_temp_mean_1_weeks_ago_0_years_ago,low_temp_mean_2_weeks_ago_0_years_ago,low_temp_mean_0_weeks_ago_1_years_ago,low_temp_min_0_weeks_ago_0_years_ago,low_temp_min_1_weeks_ago_0_years_ago,low_temp_min_2_weeks_ago_0_years_ago,low_temp_min_0_weeks_ago_1_years_ago,low_temp_std_0_weeks_ago_0_years_ago,low_temp_std_1_weeks_ago_0_years_ago,low_temp_std_2_weeks_ago_0_years_ago,low_temp_std_0_weeks_ago_1_years_ago,wind_bearing_degree_mean_0_weeks_ago_0_years_ago,wind_bearing_degree_mean_1_weeks_ago_0_years_ago,wind_bearing_degree_mean_2_weeks_ago_0_years_ago,wind_bearing_degree_mean_0_weeks_ago_1_years_ago,wind_bearing_degree_std_0_weeks_ago_0_years_ago,wind_bearing_degree_std_1_weeks_ago_0_years_ago,wind_bearing_degree_std_2_weeks_ago_0_years_ago,wind_bearing_degree_std_0_weeks_ago_1_years_ago,wind_speed_kmph_mean_0_weeks_ago_0_years_ago,wind_speed_kmph_mean_1_weeks_ago_0_years_ago,wind_speed_kmph_mean_2_weeks_ago_0_years_ago,wind_speed_kmph_mean_0_weeks_ago_1_years_ago,wind_speed_kmph_max_0_weeks_ago_0_years_ago,wind_speed_kmph_max_1_weeks_ago_0_years_ago,wind_speed_kmph_max_2_weeks_ago_0_years_ago,wind_speed_kmph_max_0_weeks_ago_1_years_ago,total_precip_mm_sum_0_weeks_ago_0_years_ago,total_precip_mm_sum_1_weeks_ago_0_years_ago,total_precip_mm_sum_2_weeks_ago_0_years_ago,total_precip_mm_sum_0_weeks_ago_1_years_ago,humidity_mean_0_weeks_ago_0_years_ago,humidity_mean_1_weeks_ago_0_years_ago,humidity_mean_2_weeks_ago_0_years_ago,humidity_mean_0_weeks_ago_1_years_ago
0,6.75,5/30/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,22,5,2.281666756,0.711842775,0,0,0,8.603896104,6.322468508,18.7,19,18,18.47619048,18,18.38095238,18.5,18.66666667,15,12,351.2152392,308.4235289,250.6909112,363.2025447,42.79171032,57.7326177,50.50038718,63.723,1.205040437,2.223647291,3.023338251,0.906326967,25.71428571,28.14285714,26.85714286,27.14285714,29,32,32,30,1.603567451,3.023715784,4.140393356,1.864454471,11,13.42857143,12.42857143,16.28571429,8,11,10,15,2.236067977,2.149196971,2.507132682,0.755928946,207.7142857,223.5714286,203.4285714,175.4285714,66.58506911,29.88230883,46.83608702,65.18143177,11.42857143,13.57142857,6.714285714,7.857142857,17,20,8,12,3.2,0.1,3,4.4,50.42857143,49.57142857,60.42857143,54.28571429
0,6.25,6/3/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,23,6,2.281666756,0.711842775,6.75,0,4.75,3.45996732,4.157137056,20,20.25,21,20.375,18,18.54166667,18.6,19.07142857,15,11.33333333,404.7033285,351.2152392,308.4235289,451.4572945,53.48808923,42.79171032,57.7326177,73.42861411,0.773279514,1.205040437,2.223647291,1.667108715,27.57142857,25.71428571,28.14285714,29.47619048,29,29,32,31.66666667,1.133893419,1.603567451,3.023715784,1.885138178,12.85714286,11,13.42857143,16.71428571,11,8,11,14.33333333,1.069044968,2.236067977,2.149196971,1.806578434,189.2857143,207.7142857,223.5714286,190.5238095,48.85595933,66.58506911,29.88230883,57.44407373,5.571428571,11.42857143,13.57142857,5.857142857,7,17,20,8.666666667,7.7,3.2,0.1,4.266666667,58.57142857,50.42857143,49.57142857,52.61904762
0,6.5,6/10/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,24,6,2.281666756,0.711842775,6.25,6.75,24.25,2.996604938,11.27474284,22,22,21,21.26041667,18,18.64583333,22,22,15,19.75,471.9263285,404.7033285,351.2152392,506.143711,67.223,53.48808923,42.79171032,78.81358319,1.752549164,0.773279514,1.205040437,1.981724355,28.57142857,27.57142857,25.71428571,29.42857143,32,29,29,33.25,2.760262237,1.133893419,1.603567451,2.86829109,15.85714286,12.85714286,11,18.35714286,15,11,8,16.25,1.069044968,1.069044968,2.236067977,1.488794748,174.4285714,189.2857143,207.7142857,161.9642857,33.04470277,48.85595933,66.58506911,32.69286648,7,5.571428571,11.42857143,5.892857143,8,7,17,7,10.1,7.7,3.2,16.15,57.14285714,58.57142857,50.42857143,54.89285714
0,5.75,6/17/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,25,6,2.281666756,0.711842775,6.5,6.25,34.5625,5.242857143,15.34577959,22,22,23,21.26041667,23,18.64583333,22,22,15,19.75,561.4142895,471.9263285,404.7033285,592.5904183,89.48796098,67.223,53.48808923,86.44670727,0.791410356,1.752549164,0.773279514,1.733680754,32.28571429,28.57142857,27.57142857,30.89285714,35,32,29,34.25,1.496026483,2.760262237,1.133893419,2.3343642,18.57142857,15.85714286,12.85714286,19.10714286,18,15,11,16.75,0.786795792,1.069044968,1.069044968,1.525720945,168.5714286,174.4285714,189.2857143,172.8214286,36.14257482,33.04470277,48.85595933,42.74931196,5.571428571,7,5.571428571,5.678571429,6,8,7,7,7.3,10.1,7.7,6,50.28571429,57.14285714,58.57142857,50.21428571
0,18,6/24/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,26,6,2.281666756,0.711842775,5.75,6.5,66.375,4.394230769,16.82127478,24,24,24,24,24,24,22,22,15,19.75,641.6442763,561.4142895,471.9263285,678.4550255,80.22998684,89.48796098,67.223,85.86460715,2.304929069,0.791410356,1.752549164,1.736003321,30.42857143,32.28571429,28.57142857,30.92857143,35,35,32,35,3.359421719,1.496026483,2.760262237,3.234249829,17.85714286,18.57142857,15.85714286,19.42857143,14,18,15,17.75,2.035400978,0.786795792,1.069044968,1.200804386,194.4285714,168.5714286,174.4285714,172.1428571,73.35270307,36.14257482,33.04470277,65.20109051,7.714285714,5.571428571,7,7.321428571,11,6,8,10.75,4.4,7.3,10.1,15.7,53,50.28571429,57.14285714,52.17857143
1,29.5,7/1/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,27,7,2.281666756,0.711842775,18,5.75,70.375,9.419860627,14.76249068,24,24.5,24,24.5,24,24.5,22,23.5,15,19.75,712.8672763,641.6442763,561.4142895,769.9071627,71.223,80.22998684,89.48796098,91.45213721,0.994029797,2.304929069,0.791410356,1.296968796,29.28571429,30.42857143,32.28571429,31.96428571,30,35,35,33.75,0.487950036,3.359421719,1.496026483,1.782808895,16.28571429,17.85714286,18.57142857,19.67857143,15,14,18,18.25,1.603567451,2.035400978,0.786795792,1.226473766,180.4285714,194.4285714,168.5714286,149.3214286,32.91330604,73.35270307,36.14257482,45.30485683,7.142857143,7.714285714,5.571428571,6.357142857,10,11,6,9.5,6.6,4.4,7.3,6.875,52,53,50.28571429,48.14285714
0,23,7/8/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,28,7,2.281666756,0.711842775,29.5,18,66.51785714,9.570557491,10.47396061,24,25,24,25,24,25,22,24.33333333,15,19.75,797.0902763,712.8672763,641.6442763,862.7972648,84.223,71.223,80.22998684,92.89010212,0.377964473,0.994029797,2.304929069,1.897986252,30.85714286,29.28571429,30.42857143,31.89285714,31,30,35,34.75,0.377964473,0.487950036,3.359421719,2.565087417,18.42857143,16.28571429,17.85714286,20.17857143,18,15,14,17.75,0.534522484,1.603567451,2.035400978,1.7395195,176,180.4285714,194.4285714,164.25,16.20699437,32.91330604,73.35270307,44.64111055,6,7.142857143,7.714285714,6.285714286,7,10,11,8.75,11.6,6.6,4.4,16.325,51.42857143,52,53,50.5
0,18.75,7/15/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,29,7,2.281666756,0.711842775,23,29.5,48.41964286,4.671602787,9.593287619,27,26,27,26.25,24,25.5,22,24.33333333,15,19.75,875.8132763,797.0902763,712.8672763,946.4217453,78.723,84.223,71.223,83.62448049,1.345185418,0.377964473,0.994029797,2.33551465,30.14285714,30.85714286,29.28571429,30.03571429,33,31,30,34.25,1.951800146,0.377964473,0.487950036,3.349817454,17.57142857,18.42857143,16.28571429,19.17857143,16,18,15,17,0.975900073,0.534522484,1.603567451,1.700019658,155.8571429,176,180.4285714,182.3214286,34.71996818,16.20699437,32.91330604,44.51859944,5.714285714,6,7.142857143,5.928571429,7,7,10,9.25,4.5,11.6,6.6,19.6,49.57142857,51.42857143,52,52.07142857
1,64.75,7/22/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,30,7,2.281666756,0.711842775,18.75,23,130.3125,4.156794425,20.14782551,27,26.5,27,26.25,24,25.5,22,25.25,15,19.75,964.9688494,875.8132763,797.0902763,1041.295348,89.15557313,78.723,84.223,94.87360247,1.920372054,1.345185418,0.377964473,1.578236665,31.85714286,30.14285714,30.85714286,31.85714286,35,33,31,35.5,3.338091842,1.951800146,0.377964473,2.529379066,19,17.57142857,18.42857143,20.67857143,17,16,18,18.75,1.290994449,0.975900073,0.534522484,1.276122367,165.2857143,155.8571429,176,176.8928571,26.01098669,34.71996818,16.20699437,44.06055738,6.285714286,5.714285714,6,6.035714286,7,7,7,9.25,5.2,4.5,11.6,7.2,47.85714286,49.57142857,51.42857143,47.25
1,137.25,7/29/13,GR_20_00006_cotton,Helicoverpa armigera,Thessaly,22.12423563,39.56908455,2013,train ,31,7,2.281666756,0.711842775,64.75,18.75,136.1875,9.223867596,19.32636044,27,26.5,27,26.25,24,25.5,22,25.25,15,19.75,1064.029792,964.9688494,875.8132763,1143.249404,99.0609426,89.15557313,78.723,101.954056,1.235828184,1.920372054,1.345185418,1.029604935,33.71428571,31.85714286,30.14285714,33.25,39,35,33,36.5,3.14718317,3.338091842,1.951800146,2.040697071,20.42857143,19,17.57142857,21.64285714,19,17,16,20,1.133893419,1.290994449,0.975900073,1.14845001,152.2857143,165.2857143,155.8571429,166.3571429,38.98595596,26.01098669,34.71996818,48.38873264,6.142857143,6.285714286,5.714285714,6.607142857,9,7,7,9,0.5,5.2,4.5,5.6,46.28571429,47.85714286,49.57142857,45.82142857
